"0","7","18392","14","98","641 Lisa Flat
Ianmouth, NM 66772","2019-05-06 10:49:24","8","true","2019-07-20 22:48:19","272.44"
"1","8","5328","7","98","966 Mark Courts
Davisshire, DE 45391","2014-05-25 15:44:06","3","true","2017-09-06 12:36:00","170.50"
"2","2","9585","13","78","4649 Cole Common
Hendrixhaven, SD 17804","2017-06-05 10:08:52","3","true","2019-01-29 08:46:07","179.54"
"3","5","682","8","15","81749 White Burgs
East Timothy, TN 25062","2016-04-18 05:40:43","7","true","2021-02-17 13:33:45","200.62"
"4","3","6360","28","199","359 Elaine Islands
Howardburgh, TX 74166","2006-01-15 19:14:35","9","true","2007-10-03 11:03:44","220.97"
"5","9","8135","5","94","44015 Bond Mews Suite 321
Port Jose, MO 46961","2019-03-03 12:16:54","7","false","2021-04-19 16:44:54","450.40"
"6","7","1461","2","177","2826 Bond Cove Apt. 601
Port Pamela, VT 85864","1973-09-19 19:04:03","2","false","1977-07-06 22:29:36","66.66"
"7","8","18475","19","187","Unit 9792 Box 4463
DPO AE 36415","1999-04-11 02:04:01","6","false","2017-09-09 14:42:06","159.71"
"8","7","7028","24","77","99635 Nguyen Cape Apt. 838
Chelseafurt, MD 85910","1970-12-07 01:58:51","2","false","2016-12-14 01:46:57","202.34"
"9","9","14551","43","124","USS Avila
FPO AA 88832","1984-08-29 17:56:49","8","true","2019-08-20 20:01:49","166.06"
"10","6","2910","18","102","USCGC Smith
FPO AE 91386","1992-07-22 04:20:27","7","true","2002-01-15 03:50:49","95.22"
"11","1","14870","8","126","730 Jonathan Street Suite 687
New Brianbury, MD 74944","2010-08-17 08:05:12","8","false","2011-11-26 01:12:41","69.03"
"12","7","14509","47","165","458 Justin Turnpike Apt. 081
Jenniferfurt, OK 00965","2015-01-10 14:05:12","1","true","2019-12-09 08:59:52","309.15"
"13","1","6208","22","8","712 Mary Valley Apt. 238
Petersstad, PA 53662","2004-07-14 04:17:20","6","true","2013-05-22 20:15:01","465.51"
"14","9","11157","10","177","27299 Maxwell Extension Suite 441
Doyletown, CO 91163","2017-09-22 15:32:18","7","true","2019-07-04 21:03:17","489.42"
"15","9","19296","19","190","PSC 0072, Box 3692
APO AE 90464","1975-04-06 06:27:15","9","true","1993-08-15 23:41:14","26.12"
"16","6","2724","42","144","46358 Ann View Suite 890
South Laura, MI 39728","1993-09-26 06:43:59","4","true","2019-11-05 06:09:08","189.12"
"17","8","9869","44","52","7493 Adams Stream Suite 329
Rowlandhaven, OH 58070","1976-11-27 07:18:52","1","true","2002-10-04 06:02:04","402.52"
"18","5","7079","13","151","174 Sarah Spur
Brownview, NY 77540","1988-07-04 10:15:08","9","false","1993-03-20 16:39:03","246.66"
"19","4","3450","10","93","83012 Mejia Tunnel Apt. 740
East Emilyhaven, LA 42995","1993-08-03 05:57:17","9","false","2002-01-12 03:13:38","178.21"
"20","6","19454","45","8","PSC 0866, Box 3298
APO AP 75776","2017-01-27 09:43:00","9","false","2020-09-16 20:59:43","391.23"
"21","8","1709","21","22","0001 Drew Bridge
New Andrewhaven, CA 02316","1977-02-23 17:45:41","6","false","2000-05-08 12:42:25","387.16"
